,Artists,Song Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
462,hanson,mmmbop,0.423,0.384,9,-12.503,1,0.0315,0.729,4.11e-06,0.27,0.521,90.43
463,bryan adams,when you're gone,0.521,0.487,6,-7.525,0,0.0299,0.253,0.0,0.0579,0.483,117.072
464,wilson phillips,hold on,0.542,0.722,7,-5.065,1,0.0262,0.0516,1.18e-05,0.131,0.609,115.21
465,cher,walking in memphis,0.703,0.563,0,-9.99,1,0.0294,0.374,0.0,0.0933,0.972,127.004
466,shania twain,man! i feel like a woman!,0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033
467,take that,back for good - radio mix,0.405,0.488,4,-10.784,1,0.0678,0.415,0.0,0.0753,0.806,181.624
468,george michael,freedom! '90 - remastered,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106
469,the rembrandts,"i'll be there for you - theme from ""friends""",0.747,0.226,7,-13.635,1,0.0414,0.908,0.000168,0.107,0.778,123.792
470,janet jackson,together again,0.631,0.69,2,-6.676,1,0.0531,0.176,0.0,0.121,0.938,94.574
471,backstreet boys,as long as you love me,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912
472,boyzone,picture of you,0.403,0.495,10,-6.888,0,0.0312,0.387,8.03e-06,0.147,0.38,132.912
473,annie lennox,walking on broken glass,0.582,0.818,7,-4.281,1,0.0332,0.236,0.0,0.253,0.954,132.946
474,mr. big,to be with you - 2010 remastered version,0.524,0.519,6,-11.903,1,0.043,0.195,0.0,0.523,0.847,110.121
475,alanis morissette,ironic - 2015 remaster,0.402,0.493,4,-9.99,1,0.0357,0.235,3.05e-05,0.229,0.692,124.103
476,shania twain,that don't impress me much,0.485,0.378,3,-11.773,1,0.0337,0.831,0.0,0.103,0.528,92.928
477,george michael,don't let the sun go down on me,0.414,0.167,9,-16.519,1,0.0484,0.804,0.0,0.117,0.384,133.45
478,christina aguilera,come on over baby (all i want is you) - radio version,0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745
479,ronan keating,when you say nothing at all,0.711,0.362,3,-10.851,0,0.0381,0.272,0.0,0.127,0.616,117.287
480,mariah carey,fantasy,0.493,0.688,7,-8.143,1,0.0321,0.0126,0.256,0.38,0.533,147.403
481,go west,the king of wishful thinking,0.366,0.317,1,-13.976,1,0.027,0.541,0.0,0.0865,0.398,94.108
482,amy grant,"baby, baby",0.474,0.478,7,-8.951,1,0.0343,0.484,0.0,0.0833,0.831,120.326
483,joshua kadison,jessie,0.641,0.703,9,-10.434,1,0.0518,0.397,0.00546,0.104,0.722,129.118
484,roxette,joyride,0.52,0.179,11,-21.976,0,0.0454,0.356,0.00344,0.131,0.407,155.746
485,michael jackson,black or white - single version,0.561,0.883,11,-1.737,0,0.0367,0.0405,0.0305,0.112,0.749,126.203
486,shania twain,you're still the one,0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453
487,hootie & the blowfish,only wanna be with you,0.807,0.497,7,-10.656,1,0.0297,0.307,0.0327,0.043,0.765,114.524
488,savage garden,truly madly deeply,0.652,0.583,9,-7.811,1,0.038,0.412,0.0,0.119,0.744,138.134
489,backstreet boys,everybody (backstreet's back) - radio edit,0.562,0.54,0,-7.875,1,0.0365,0.803,3.86e-06,0.106,0.793,134.676
490,big mountain,"baby, i love your way",0.396,0.686,5,-5.607,1,0.0341,0.725,1.04e-06,0.17,0.717,124.318
491,cher,the shoop shoop song (it's in his kiss),0.557,0.698,1,-7.471,0,0.039,0.472,0.0,0.057,0.677,112.479
492,ace of base,the sign,0.776,0.659,9,-7.767,1,0.051,0.434,0.0,0.0868,0.969,123.094
493,britney spears,sometimes,0.495,0.629,4,-6.817,1,0.0431,0.695,0.0,0.164,0.545,118.515
494,the la's,there she goes,0.561,0.447,1,-11.389,1,0.0544,0.279,0.0,0.319,0.729,117.784
495,roxette,fading like a flower (every time you leave),0.619,0.603,9,-9.481,1,0.0342,0.712,0.0,0.0721,0.958,127.433
496,deep blue something,breakfast at tiffany's,0.693,0.29,8,-17.501,1,0.0334,0.706,1.49e-05,0.137,0.92,121.795
497,wet wet wet,"love is all around - from ""four weddings and a funeral""",0.75,0.444,4,-8.63,1,0.0403,0.12,3.69e-06,0.118,0.849,111.919
498,donna lewis,i love you always forever,0.63,0.519,9,-10.997,1,0.0528,0.225,4.3e-06,0.0974,0.502,143.942
499,des'ree,you gotta be,0.487,0.464,4,-9.821,1,0.03,0.0666,0.00531,0.105,0.851,121.242
500,s club 7,bring it all back,0.346,0.716,0,-10.001,1,0.0735,0.571,0.0,0.189,0.904,184.499
501,tom cochrane,life is a highway,0.439,0.488,11,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017
502,mariah carey,always be my baby,0.493,0.467,1,-11.183,1,0.0289,0.757,0.0,0.388,0.731,110.553
503,cher,strong enough,0.46,0.389,0,-11.603,1,0.031,0.349,0.0,0.0533,0.606,123.213
504,britney spears,...baby one more time,0.725,0.327,0,-17.714,1,0.0387,0.113,0.326,0.214,0.688,110.438
505,gabrielle,out of reach,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336
506,b*witched,c'est la vie,0.581,0.696,9,-8.75,1,0.108,0.673,0.0,0.322,0.932,160.891
507,spice girls,2 become 1,0.658,0.657,0,-7.792,1,0.0482,0.592,9.5e-06,0.08,0.888,157.269
508,phil collins,you'll be in my heart,0.543,0.41,8,-13.253,1,0.0268,0.157,0.0,0.0996,0.817,95.363
509,sheryl crow,all i wanna do,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946
510,robbie williams,angels,0.562,0.779,7,-6.705,1,0.0592,0.363,0.0292,0.066,0.967,119.602
511,tlc,waterfalls,0.499,0.595,4,-10.028,1,0.0384,0.258,0.0,0.487,0.813,120.521
512,u2,sweetest thing - the single mix,0.257,0.338,4,-12.902,1,0.0357,0.736,0.0,0.252,0.544,207.356
513,the cure,friday i'm in love,0.484,0.538,7,-9.218,1,0.0296,0.00306,3.54e-05,0.0711,0.498,102.073
514,meat loaf,i'd do anything for love (but i won't do that) - single edit,0.623,0.156,6,-15.098,1,0.0308,0.912,0.0,0.141,0.329,97.235
515,céline dion,"because you loved me (theme from ""up close and personal"")",0.757,0.725,2,-7.259,1,0.0275,0.399,0.0,0.108,0.965,122.439
516,backstreet boys,quit playing games (with my heart),0.603,0.596,9,-8.029,1,0.0728,0.395,2.31e-06,0.451,0.502,128.129
517,mike & the mechanics,over my shoulder,0.389,0.745,3,-6.998,1,0.0384,0.777,0.00159,0.143,0.271,83.037
518,elton john,can you feel the love tonight,0.623,0.709,1,-9.818,0,0.0636,0.102,0.0,0.0967,0.948,122.394
519,boyzone,no matter what,0.239,0.618,0,-8.464,1,0.033,0.0305,0.0,0.721,0.683,197.499
520,m people,moving on up,0.517,0.692,1,-7.273,0,0.0246,0.253,0.0,0.172,0.476,107.958
521,robbie williams,let me entertain you,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95
522,the goo goo dolls,iris,0.636,0.893,3,-6.311,1,0.047,0.674,0.00143,0.176,0.887,129.664
523,all saints,never ever,0.546,0.399,4,-9.378,1,0.027,0.361,3.18e-06,0.0995,0.301,97.142
524,savage garden,i knew i loved you,0.192,0.392,5,-11.667,1,0.0328,0.326,0.000199,0.248,0.391,172.312
525,lonestar,amazed,0.281,0.212,6,-15.513,1,0.031,0.86,7.73e-05,0.119,0.195,95.555
526,spice girls,who do you think you are,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532
527,shanice,i love your smile,0.595,0.643,5,-9.275,1,0.0365,0.76,0.0,0.538,0.73,135.633
528,mariah carey,"i'll be there (feat. trey lorenz) - live at mtv unplugged, kaufman astoria stulive at mtv unplugged, kaufman astoria studios, new york - march 1992dios, new york - march 1992",0.243,0.655,2,-4.597,0,0.0363,0.659,1.28e-06,0.0821,0.575,111.965
529,maria mckee,"show me heaven - from ""days of thunder""",0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723
530,pretenders,i'll stand by you,0.321,0.0631,6,-21.616,0,0.0351,0.833,0.83,0.141,0.264,135.605
531,take that,relight my fire (feat. lulu),0.512,0.771,4,-7.006,1,0.0402,0.168,0.0,0.0895,0.803,129.639
532,spice girls,say you'll be there,0.312,0.555,7,-10.05,1,0.0377,0.47,1.43e-06,0.084,0.491,118.235
533,crowded house,weather with you,0.579,0.419,0,-10.72,1,0.0346,0.625,0.0,0.0981,0.673,104.564
534,mariah carey,hero,0.423,0.681,10,-9.756,1,0.0398,0.0592,0.000177,0.0889,0.56,110.461
535,gabrielle,dreams,0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273
536,jennifer lopez,let's get loud,0.666,0.55,10,-8.672,1,0.0612,0.573,1.84e-06,0.122,0.961,95.552
537,the klf,justified & ancient,0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.796
538,lighthouse family,high,0.632,0.59,5,-10.206,1,0.0305,0.346,0.0,0.24,0.953,130.287
539,jennifer paige,crush,0.251,0.868,1,-2.685,1,0.128,0.488,7.34e-06,0.814,0.599,177.13
540,spice girls,spice up your life,0.715,0.423,7,-12.663,0,0.0306,0.62,0.0,0.568,0.596,98.623
541,peabo bryson,a whole new world (aladdin's theme),0.569,0.896,3,-9.068,1,0.0634,0.0602,0.31,0.0723,0.711,137.292
542,bryan adams,"all for love - from ""the three musketeers""",0.4,0.48,7,-7.768,1,0.0295,0.346,3.1e-05,0.155,0.653,103.436
543,tal bachman,she's so high,0.632,0.686,0,-6.116,0,0.0395,0.437,0.0,0.193,0.65,121.414
544,ricky martin,livin' la vida loca,0.621,0.972,8,-3.791,1,0.0724,0.472,0.000585,0.195,0.866,155.113
545,michael jackson,will you be there - single version,0.539,0.406,0,-6.225,1,0.0261,0.351,5.1e-06,0.161,0.376,135.923
546,ub40,(i can't help) falling in love with you,0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05
547,elton john,"circle of life - from ""the lion king""/soundtrack version",0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263
548,all-4-one,i swear,0.446,0.92,9,-4.228,1,0.183,0.754,0.0514,0.239,0.656,203.034
549,the corrs,what can i do,0.364,0.607,2,-9.791,1,0.125,0.451,0.0,0.251,0.598,79.987
550,anastacia,i'm outta love - radio edit,0.603,0.271,5,-10.083,1,0.0284,0.679,0.0,0.141,0.405,110.89
551,jennifer lopez,waiting for tonight,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-06,0.0414,0.937,124.631
552,madonna,vogue,0.619,0.472,3,-11.999,0,0.0296,0.293,0.0,0.168,0.777,119.569
553,eagle-eye cherry,save tonight,0.79,0.41,0,-13.241,1,0.0343,0.263,0.00314,0.174,0.815,112.345
554,meredith brooks,bitch,0.574,0.542,7,-11.578,1,0.0657,0.212,0.000117,0.0645,0.977,129.646
555,christina aguilera,genie in a bottle,0.502,0.333,7,-10.914,1,0.0264,0.699,0.0,0.222,0.729,96.982
556,seal,kiss from a rose,0.138,0.399,7,-8.756,1,0.0311,0.782,3.65e-06,0.188,0.296,179.93
557,texas,say what you want,0.259,0.241,2,-15.955,1,0.042,0.554,6.62e-06,0.0849,0.275,178.453
558,aerosmith,"i don't want to miss a thing - from ""armageddon"" soundtrack",0.535,0.797,3,-7.533,1,0.0459,0.48,3.42e-05,0.141,0.613,148.835
559,peter andre,mysterious girl - radio edit,0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813
560,new radicals,you get what you give,0.864,0.346,4,-12.918,1,0.0365,0.277,0.00521,0.0514,0.964,105.164
561,robyn,show me love - radio version,0.396,0.286,6,-11.494,0,0.0283,0.548,8.51e-06,0.122,0.605,105.289
562,cece peniston,finally,0.635,0.167,1,-12.998,1,0.0403,0.858,0.000999,0.213,0.246,83.768
563,tlc,no scrubs,0.553,0.738,0,-7.963,1,0.0457,0.213,0.0,0.339,0.759,138.602
564,simply red,stars,0.352,0.3,8,-9.282,1,0.0301,0.413,0.0,0.1,0.295,58.686
565,whitney houston,i will always love you,0.515,0.496,4,-7.446,1,0.0324,0.265,0.0,0.182,0.651,153.582
566,eric clapton,change the world - 2015 remaster,0.733,0.579,7,-8.442,1,0.033,0.573,2.11e-05,0.113,0.963,122.729
567,take that,how deep is your love,0.659,0.513,0,-7.186,1,0.0293,0.315,0.0,0.283,0.855,133.609
568,oasis,don't look back in anger,0.661,0.557,4,-8.244,1,0.049,0.262,0.0,0.0557,0.957,125.445
569,k-ci & jojo,all my life,0.507,0.561,7,-10.472,1,0.0353,0.548,0.0,0.59,0.89,120.042
570,tlc,unpretty,0.408,0.436,0,-7.712,1,0.0345,0.805,1.72e-06,0.305,0.474,175.024
571,lisa loeb & nine stories,stay (i missed you),0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111
572,whitney houston,i'm every woman,0.605,0.837,7,-10.059,1,0.114,0.754,4.11e-05,0.3,0.93,157.225
573,macy gray,i try,0.615,0.815,5,-7.128,1,0.0373,0.475,0.0,0.0964,0.765,150.733
574,new kids on the block,step by step,0.525,0.52,7,-11.725,1,0.0271,0.538,0.00569,0.111,0.523,112.554
575,sheryl crow,if it makes you happy,0.708,0.545,6,-7.376,1,0.0502,0.648,0.0,0.121,0.935,135.241
576,des'ree,life,0.721,0.567,10,-9.516,1,0.0389,0.221,0.0,0.465,0.914,116.643
577,céline dion,the power of love,0.628,0.593,0,-7.515,1,0.0279,0.508,0.0,0.104,0.488,114.944
578,spin doctors,two princes,0.595,0.465,2,-8.412,0,0.026,0.102,0.0,0.0641,0.492,124.991
579,christina aguilera,what a girl wants,0.168,0.326,5,-9.981,1,0.0324,0.721,0.0006,0.316,0.322,174.794
580,whitney houston,my love is your love,0.523,0.48,3,-10.923,1,0.0492,0.214,0.0,0.0751,0.81,151.4
581,tom petty and the heartbreakers,learning to fly,0.602,0.633,9,-9.756,1,0.0314,0.502,0.0,0.0614,0.931,98.995
582,counting crows,mr. jones,0.49,0.715,7,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726
583,enrique iglesias,be with you,0.822,0.332,1,-11.369,1,0.0506,0.834,0.0,0.11,0.834,110.802
584,r.e.m.,shiny happy people,0.593,0.354,9,-10.269,1,0.0288,0.733,0.0,0.527,0.793,124.63
585,céline dion,"beauty and the beast - from the soundtrack ""beauty and the beast""",0.604,0.51,11,-9.323,0,0.0544,0.903,2.19e-05,0.71,0.916,124.012
586,robbie williams,she's the one,0.604,0.357,6,-11.419,1,0.0269,0.0311,0.0,0.0927,0.638,100.721
587,santana,smooth,0.252,0.507,2,-13.337,1,0.0442,0.00206,0.00057,0.325,0.816,196.494
588,janet jackson,again,0.66,0.611,0,-10.309,1,0.0392,0.423,1.11e-05,0.107,0.749,113.898
589,whitney houston,i have nothing - film version,0.431,0.678,4,-7.945,1,0.0365,0.7,6.37e-06,0.199,0.633,135.919
590,ace of base,all that she wants,0.467,0.783,8,-5.207,1,0.0528,0.139,0.0214,0.08,0.591,160.841
591,4 non blondes,what's up?,0.39,0.31,5,-14.545,1,0.0676,0.794,0.0,0.379,0.584,177.515
592,boyz ii men,end of the road,0.374,0.991,9,-1.101,1,0.0813,0.38,0.000719,0.0929,0.51,95.105
593,michael jackson,heal the world,0.512,0.658,1,-9.972,0,0.0607,0.232,0.0,0.108,0.752,129.861
594,soul asylum,runaway train,0.574,0.364,11,-9.672,0,0.0365,0.915,9.98e-06,0.137,0.398,112.094
595,enrique iglesias,could i have this kiss forever,0.311,0.0264,0,-21.644,1,0.037,0.731,0.00205,0.156,0.139,120.653
596,the goo goo dolls,slide,0.605,0.455,5,-8.903,0,0.0301,0.595,0.0,0.0816,0.678,106.825
597,omc,how bizarre,0.546,0.818,0,-4.89,1,0.031,0.0487,0.0,0.0983,0.756,138.561
598,black box,ride on time,0.563,0.441,4,-9.902,1,0.0437,0.773,0.0,0.351,0.468,115.168
599,lionel richie,endless love,0.528,0.482,9,-10.939,0,0.027,0.614,0.0,0.549,0.788,95.82
600,amy winehouse,back to black,0.653,0.334,9,-6.955,1,0.0313,0.411,3.47e-05,0.123,0.665,119.46
601,maroon 5,she will be loved,0.526,0.436,1,-6.02,1,0.0232,0.0981,7.69e-06,0.118,0.286,96.903
602,mary j. blige,family affair,0.731,0.837,9,-8.673,1,0.0477,0.000287,0.15,0.0978,0.832,135.603
603,david guetta,when love takes over (feat. kelly rowland),0.691,0.507,11,-10.23,1,0.0343,0.627,0.0,0.457,0.885,128.518
604,shakira,hips don't lie (feat. wyclef jean),0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566
605,usher,yeah!,0.59,0.355,9,-14.051,1,0.0352,0.48,0.0,0.0585,0.499,133.03
606,rihanna,pon de replay,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
607,james blunt,you're beautiful,0.669,0.616,11,-10.776,0,0.033,0.482,0.0,0.179,0.818,130.037
608,beyoncé,halo,0.55,0.854,3,-5.968,1,0.036,0.661,0.0,0.112,0.965,159.231
609,lady gaga,just dance,0.484,0.312,2,-13.522,1,0.0535,0.724,1.65e-06,0.0601,0.598,205.981
610,amy winehouse,rehab,0.621,0.708,6,-9.057,1,0.0259,0.246,2e-06,0.143,0.624,110.533
611,rihanna,umbrella,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683
612,miley cyrus,party in the u.s.a.,0.423,0.384,9,-12.503,1,0.0315,0.729,4.11e-06,0.27,0.521,90.43
613,nelly furtado,promiscuous,0.521,0.487,6,-7.525,0,0.0299,0.253,0.0,0.0579,0.483,117.072
614,taylor swift,i knew you were trouble,0.542,0.722,7,-5.065,1,0.0262,0.0516,1.18e-05,0.131,0.609,115.21
615,kelly clarkson,since u been gone,0.703,0.563,0,-9.99,1,0.0294,0.374,0.0,0.0933,0.972,127.004
616,natasha bedingfield,unwritten,0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033
617,jay sean,down,0.405,0.488,4,-10.784,1,0.0678,0.415,0.0,0.0753,0.806,181.624
618,rihanna,disturbia,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106
619,katy perry,last friday night (t.g.i.f.),0.747,0.226,7,-13.635,1,0.0414,0.908,0.000168,0.107,0.778,123.792
620,taylor swift,love story,0.631,0.69,2,-6.676,1,0.0531,0.176,0.0,0.121,0.938,94.574
621,britney spears,oops!...i did it again,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912
622,gwen stefani,the sweet escape,0.403,0.495,10,-6.888,0,0.0312,0.387,8.03e-06,0.147,0.38,132.912
623,nelly furtado,maneater,0.582,0.818,7,-4.281,1,0.0332,0.236,0.0,0.253,0.954,132.946
624,p!nk,raise your glass,0.524,0.519,6,-11.903,1,0.043,0.195,0.0,0.523,0.847,110.121
625,rihanna,don't stop the music,0.402,0.493,4,-9.99,1,0.0357,0.235,3.05e-05,0.229,0.692,124.103
626,kesha,tik tok,0.485,0.378,3,-11.773,1,0.0337,0.831,0.0,0.103,0.528,92.928
627,katy perry,hot n cold,0.414,0.167,9,-16.519,1,0.0484,0.804,0.0,0.117,0.384,133.45
628,lady gaga,poker face,0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745
629,beyoncé,crazy in love (feat. jay-z),0.711,0.362,3,-10.851,0,0.0381,0.272,0.0,0.127,0.616,117.287
630,britney spears,toxic,0.493,0.688,7,-8.143,1,0.0321,0.0126,0.256,0.38,0.533,147.403
631,rihanna,sos,0.366,0.317,1,-13.976,1,0.027,0.541,0.0,0.0865,0.398,94.108
632,taylor swift,we are never ever getting back together,0.474,0.478,7,-8.951,1,0.0343,0.484,0.0,0.0833,0.831,120.326
633,taio cruz,dynamite,0.641,0.703,9,-10.434,1,0.0518,0.397,0.00546,0.104,0.722,129.118
634,lady gaga,bad romance,0.52,0.179,11,-21.976,0,0.0454,0.356,0.00344,0.131,0.407,155.746
635,p!nk,so what,0.561,0.883,11,-1.737,0,0.0367,0.0405,0.0305,0.112,0.749,126.203
636,mike posner,cooler than me - single mix,0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453
637,katy perry,i kissed a girl,0.807,0.497,7,-10.656,1,0.0297,0.307,0.0327,0.043,0.765,114.524
638,britney spears,gimme more,0.652,0.583,9,-7.811,1,0.038,0.412,0.0,0.119,0.744,138.134
639,cascada,every time we touch,0.562,0.54,0,-7.875,1,0.0365,0.803,3.86e-06,0.106,0.793,134.676
640,justin timberlake,rock your body,0.396,0.686,5,-5.607,1,0.0341,0.725,1.04e-06,0.17,0.717,124.318
641,rihanna,shut up and drive,0.557,0.698,1,-7.471,0,0.039,0.472,0.0,0.057,0.677,112.479
642,black eyed peas,i gotta feeling,0.776,0.659,9,-7.767,1,0.051,0.434,0.0,0.0868,0.969,123.094
643,jay-z,empire state of mind,0.495,0.629,4,-6.817,1,0.0431,0.695,0.0,0.164,0.545,118.515
644,bruno mars,marry you,0.561,0.447,1,-11.389,1,0.0544,0.279,0.0,0.319,0.729,117.784
645,flo rida,low (feat. t-pain),0.619,0.603,9,-9.481,1,0.0342,0.712,0.0,0.0721,0.958,127.433
646,maroon 5,this love,0.693,0.29,8,-17.501,1,0.0334,0.706,1.49e-05,0.137,0.92,121.795
647,britney spears,womanizer,0.75,0.444,4,-8.63,1,0.0403,0.12,3.69e-06,0.118,0.849,111.919
648,sugababes,about you now,0.63,0.519,9,-10.997,1,0.0528,0.225,4.3e-06,0.0974,0.502,143.942
649,iyaz,replay,0.487,0.464,4,-9.821,1,0.03,0.0666,0.00531,0.105,0.851,121.242
650,avril lavigne,complicated,0.346,0.716,0,-10.001,1,0.0735,0.571,0.0,0.189,0.904,184.499
651,chris brown,forever,0.439,0.488,11,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017
652,shakira,"whenever, wherever",0.493,0.467,1,-11.183,1,0.0289,0.757,0.0,0.388,0.731,110.553
653,atomic kitten,the tide is high - radio mix,0.46,0.389,0,-11.603,1,0.031,0.349,0.0,0.0533,0.606,123.213
654,britney spears,circus,0.725,0.327,0,-17.714,1,0.0387,0.113,0.326,0.214,0.688,110.438
655,avril lavigne,sk8er boi,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336
656,*nsync,bye bye bye,0.581,0.696,9,-8.75,1,0.108,0.673,0.0,0.322,0.932,160.891
657,beyoncé,sweet dreams,0.658,0.657,0,-7.792,1,0.0482,0.592,9.5e-06,0.08,0.888,157.269
658,justin timberlake,sexyback (feat. timbaland),0.543,0.41,8,-13.253,1,0.0268,0.157,0.0,0.0996,0.817,95.363
659,bruno mars,grenade,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946
660,taio cruz,break your heart,0.562,0.779,7,-6.705,1,0.0592,0.363,0.0292,0.066,0.967,119.602
661,david guetta,sexy bitch (feat. akon),0.499,0.595,4,-10.028,1,0.0384,0.258,0.0,0.487,0.813,120.521
662,the pussycat dolls,don't cha,0.257,0.338,4,-12.902,1,0.0357,0.736,0.0,0.252,0.544,207.356
663,beyoncé,irreplaceable,0.484,0.538,7,-9.218,1,0.0296,0.00306,3.54e-05,0.0711,0.498,102.073
664,fergie,glamorous,0.623,0.156,6,-15.098,1,0.0308,0.912,0.0,0.141,0.329,97.235
665,gym class heroes,cupid's chokehold / breakfast in america - radio mix,0.757,0.725,2,-7.259,1,0.0275,0.399,0.0,0.108,0.965,122.439
666,timbaland,the way i are,0.603,0.596,9,-8.029,1,0.0728,0.395,2.31e-06,0.451,0.502,128.129
667,rihanna,take a bow,0.389,0.745,3,-6.998,1,0.0384,0.777,0.00159,0.143,0.271,83.037
668,leona lewis,bleeding love,0.623,0.709,1,-9.818,0,0.0636,0.102,0.0,0.0967,0.948,122.394
669,black eyed peas,where is the love?,0.239,0.618,0,-8.464,1,0.033,0.0305,0.0,0.721,0.683,197.499
670,train,"hey, soul sister",0.517,0.692,1,-7.273,0,0.0246,0.253,0.0,0.172,0.476,107.958
671,beyoncé,single ladies (put a ring on it),0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95
672,destiny's child,survivor,0.636,0.893,3,-6.311,1,0.047,0.674,0.00143,0.176,0.887,129.664
673,rihanna,rude boy,0.546,0.399,4,-9.378,1,0.027,0.361,3.18e-06,0.0995,0.301,97.142
674,jordin sparks,no air (feat. chris brown),0.192,0.392,5,-11.667,1,0.0328,0.326,0.000199,0.248,0.391,172.312
675,fergie,fergalicious,0.281,0.212,6,-15.513,1,0.031,0.86,7.73e-05,0.119,0.195,95.555
676,sara bareilles,love song,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532
677,adele,chasing pavements,0.595,0.643,5,-9.275,1,0.0365,0.76,0.0,0.538,0.73,135.633
678,jason derulo,in my head,0.243,0.655,2,-4.597,0,0.0363,0.659,1.28e-06,0.0821,0.575,111.965
679,lady gaga,telephone,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723
680,the killers,mr. brightside,0.321,0.0631,6,-21.616,0,0.0351,0.833,0.83,0.141,0.264,135.605
681,soulja boy,kiss me thru the phone,0.512,0.771,4,-7.006,1,0.0402,0.168,0.0,0.0895,0.803,129.639
682,nelly furtado,say it right,0.312,0.555,7,-10.05,1,0.0377,0.47,1.43e-06,0.084,0.491,118.235
683,kanye west,heartless,0.579,0.419,0,-10.72,1,0.0346,0.625,0.0,0.0981,0.673,104.564
684,jennifer lopez,jenny from the block (feat. jadakiss & styles p.) - track masters remix,0.423,0.681,10,-9.756,1,0.0398,0.0592,0.000177,0.0889,0.56,110.461
685,fergie,big girls don't cry (personal),0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273
686,toploader,dancing in the moonlight,0.666,0.55,10,-8.672,1,0.0612,0.573,1.84e-06,0.122,0.961,95.552
687,the script,breakeven,0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.796
688,timbaland,if we ever meet again (featuring katy perry),0.632,0.59,5,-10.206,1,0.0305,0.346,0.0,0.24,0.953,130.287
689,beyoncé,if i were a boy,0.251,0.868,1,-2.685,1,0.128,0.488,7.34e-06,0.814,0.599,177.13
690,gwen stefani,hollaback girl,0.715,0.423,7,-12.663,0,0.0306,0.62,0.0,0.568,0.596,98.623
691,jamelia,superstar,0.569,0.896,3,-9.068,1,0.0634,0.0602,0.31,0.0723,0.711,137.292
692,mika,grace kelly,0.4,0.48,7,-7.768,1,0.0295,0.346,3.1e-05,0.155,0.653,103.436
693,madonna,4 minutes (feat. justin timberlake & timbaland),0.632,0.686,0,-6.116,0,0.0395,0.437,0.0,0.193,0.65,121.414
694,black eyed peas,meet me halfway,0.621,0.972,8,-3.791,1,0.0724,0.472,0.000585,0.195,0.866,155.113
695,sean kingston,beautiful girls,0.539,0.406,0,-6.225,1,0.0261,0.351,5.1e-06,0.161,0.376,135.923
696,ne-yo,because of you,0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05
697,christina aguilera,lady marmalade,0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263
698,westlife,world of our own,0.446,0.92,9,-4.228,1,0.183,0.754,0.0514,0.239,0.656,203.034
